Date : 2024-02-25 16:09:49
Directory : c:\Users\adria\Documents\DHBW\Studienarbeit\DUO
Total : 129 files,  6260 codes, 681 comments, 1136 blanks, all 8077 lines

Languages
+-----------------------+------------+------------+------------+------------+------------+
| language              | files      | code       | comment    | blank      | total      |
+-----------------------+------------+------------+------------+------------+------------+
| Go                    |         23 |      2,393 |         98 |        422 |      2,913 |
| Dart                  |         29 |      1,814 |        294 |        324 |      2,432 |
| XML                   |         17 |        602 |         48 |         19 |        669 |
| C++                   |         16 |        538 |        121 |        182 |        841 |
| JSON                  |          4 |        248 |          0 |          4 |        252 |
| Groovy                |          3 |        101 |          5 |         23 |        129 |
| Go Checksum File      |          1 |         98 |          0 |          1 |         99 |
| Protocol Buffers      |          4 |         84 |          0 |         35 |        119 |
| YAML                  |          4 |         63 |         82 |         22 |        167 |
| Swift                 |          6 |         54 |          7 |         20 |         81 |
| SQL                   |          6 |         46 |          9 |         16 |         71 |
| Makefile              |          2 |         43 |          0 |         17 |         60 |
| Go Module File        |          1 |         42 |          0 |          3 |         45 |
| CMake                 |          2 |         38 |          0 |         12 |         50 |
| HTML                  |          1 |         38 |         16 |          6 |         60 |
| Docker                |          2 |         23 |          1 |         17 |         41 |
| Markdown              |          4 |         19 |          0 |         11 |         30 |
| Properties            |          2 |          8 |          0 |          2 |         10 |
| Environment Variables |          2 |          8 |          0 |          0 |          8 |
+-----------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                           |        129 |      6,260 |        681 |      1,136 |      8,077 |
| . (Files)                                                                                                                                   |          2 |         16 |          0 |          6 |         22 |
| duo_backend                                                                                                                                 |         38 |      2,665 |        107 |        468 |      3,240 |
| duo_backend (Files)                                                                                                                         |         10 |        270 |          1 |         42 |        313 |
| duo_backend\api                                                                                                                             |          4 |        354 |         13 |         83 |        450 |
| duo_backend\db                                                                                                                              |         12 |        267 |         26 |         73 |        366 |
| duo_backend\db\migration                                                                                                                    |          4 |         37 |          0 |          9 |         46 |
| duo_backend\db\query                                                                                                                        |          2 |          9 |          9 |          7 |         25 |
| duo_backend\db\sqlc                                                                                                                         |          6 |        221 |         17 |         57 |        295 |
| duo_backend\pb                                                                                                                              |          5 |      1,547 |         65 |        208 |      1,820 |
| duo_backend\token                                                                                                                           |          4 |        124 |          0 |         37 |        161 |
| duo_backend\util                                                                                                                            |          3 |        103 |          2 |         25 |        130 |
| duo_client                                                                                                                                  |         84 |      3,483 |        573 |        622 |      4,678 |
| duo_client (Files)                                                                                                                          |          3 |         39 |         82 |         28 |        149 |
| duo_client\android                                                                                                                          |         12 |        168 |         51 |         34 |        253 |
| duo_client\android (Files)                                                                                                                  |          3 |         53 |          0 |         12 |         65 |
| duo_client\android\app                                                                                                                      |          8 |        110 |         51 |         21 |        182 |
| duo_client\android\app (Files)                                                                                                              |          1 |         51 |          5 |         12 |         68 |
| duo_client\android\app\src                                                                                                                  |          7 |         59 |         46 |          9 |        114 |
| duo_client\android\app\src\debug                                                                                                            |          1 |          3 |          4 |          1 |          8 |
| duo_client\android\app\src\main                                                                                                             |          5 |         53 |         38 |          7 |         98 |
| duo_client\android\app\src\main (Files)                                                                                                     |          1 |         27 |          6 |          1 |         34 |
| duo_client\android\app\src\main\res                                                                                                         |          4 |         26 |         32 |          6 |         64 |
| duo_client\android\app\src\main\res\drawable                                                                                                |          1 |          4 |          7 |          2 |         13 |
| duo_client\android\app\src\main\res\drawable-v21                                                                                            |          1 |          4 |          7 |          2 |         13 |
| duo_client\android\app\src\main\res\values                                                                                                  |          1 |          9 |          9 |          1 |         19 |
| duo_client\android\app\src\main\res\values-night                                                                                            |          1 |          9 |          9 |          1 |         19 |
| duo_client\android\app\src\profile                                                                                                          |          1 |          3 |          4 |          1 |          8 |
| duo_client\android\gradle                                                                                                                   |          1 |          5 |          0 |          1 |          6 |
| duo_client\android\gradle\wrapper                                                                                                           |          1 |          5 |          0 |          1 |          6 |
| duo_client\ios                                                                                                                              |         12 |        320 |          4 |         17 |        341 |
| duo_client\ios\Flutter                                                                                                                      |          1 |         26 |          0 |          1 |         27 |
| duo_client\ios\Runner                                                                                                                       |          8 |        271 |          2 |         10 |        283 |
| duo_client\ios\Runner (Files)                                                                                                               |          3 |         62 |          0 |          4 |         66 |
| duo_client\ios\Runner.xcodeproj                                                                                                             |          1 |          8 |          0 |          1 |          9 |
| duo_client\ios\Runner.xcodeproj\project.xcworkspace                                                                                         |          1 |          8 |          0 |          1 |          9 |
| duo_client\ios\Runner.xcodeproj\project.xcworkspace\xcshareddata                                                                            |          1 |          8 |          0 |          1 |          9 |
| duo_client\ios\Runner.xcworkspace                                                                                                           |          1 |          8 |          0 |          1 |          9 |
| duo_client\ios\Runner.xcworkspace\xcshareddata                                                                                              |          1 |          8 |          0 |          1 |          9 |
| duo_client\ios\RunnerTests                                                                                                                  |          1 |          7 |          2 |          4 |         13 |
| duo_client\ios\Runner\Assets.xcassets                                                                                                       |          3 |        148 |          0 |          4 |        152 |
| duo_client\ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                    |          1 |        122 |          0 |          1 |        123 |
| duo_client\ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                  |          2 |         26 |          0 |          3 |         29 |
| duo_client\ios\Runner\Base.lproj                                                                                                            |          2 |         61 |          2 |          2 |         65 |
| duo_client\lib                                                                                                                              |         28 |      1,800 |        284 |        317 |      2,401 |
| duo_client\lib (Files)                                                                                                                      |          1 |         31 |          0 |          4 |         35 |
| duo_client\lib\pb                                                                                                                           |         16 |      1,266 |        262 |        237 |      1,765 |
| duo_client\lib\pb (Files)                                                                                                                   |         13 |      1,184 |        133 |        215 |      1,532 |
| duo_client\lib\pb\google                                                                                                                    |          3 |         82 |        129 |         22 |        233 |
| duo_client\lib\pb\google\protobuf                                                                                                           |          3 |         82 |        129 |         22 |        233 |
| duo_client\lib\provider                                                                                                                     |          3 |         54 |          0 |         15 |         69 |
| duo_client\lib\screens                                                                                                                      |          4 |        277 |          5 |         23 |        305 |
| duo_client\lib\utils                                                                                                                        |          4 |        172 |         17 |         38 |        227 |
| duo_client\lib\utils (Files)                                                                                                                |          1 |          5 |          1 |          1 |          7 |
| duo_client\lib\utils\connection                                                                                                             |          2 |        138 |         13 |         27 |        178 |
| duo_client\lib\utils\encryption                                                                                                             |          1 |         29 |          3 |         10 |         42 |
| duo_client\linux                                                                                                                            |          6 |        117 |         27 |         44 |        188 |
| duo_client\linux (Files)                                                                                                                    |          3 |         86 |         18 |         27 |        131 |
| duo_client\linux\flutter                                                                                                                    |          3 |         31 |          9 |         17 |         57 |
| duo_client\macos                                                                                                                            |          9 |        494 |          5 |         19 |        518 |
| duo_client\macos\Flutter                                                                                                                    |          1 |          8 |          3 |          4 |         15 |
| duo_client\macos\Runner                                                                                                                     |          5 |        463 |          0 |          9 |        472 |
| duo_client\macos\Runner (Files)                                                                                                             |          3 |         52 |          0 |          7 |         59 |
| duo_client\macos\Runner.xcodeproj                                                                                                           |          1 |          8 |          0 |          1 |          9 |
| duo_client\macos\Runner.xcodeproj\project.xcworkspace                                                                                       |          1 |          8 |          0 |          1 |          9 |
| duo_client\macos\Runner.xcodeproj\project.xcworkspace\xcshareddata                                                                          |          1 |          8 |          0 |          1 |          9 |
| duo_client\macos\Runner.xcworkspace                                                                                                         |          1 |          8 |          0 |          1 |          9 |
| duo_client\macos\Runner.xcworkspace\xcshareddata                                                                                            |          1 |          8 |          0 |          1 |          9 |
| duo_client\macos\RunnerTests                                                                                                                |          1 |          7 |          2 |          4 |         13 |
| duo_client\macos\Runner\Assets.xcassets                                                                                                     |          1 |         68 |          0 |          1 |         69 |
| duo_client\macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                                  |          1 |         68 |          0 |          1 |         69 |
| duo_client\macos\Runner\Base.lproj                                                                                                          |          1 |        343 |          0 |          1 |        344 |
| duo_client\test                                                                                                                             |          1 |         14 |         10 |          7 |         31 |
| duo_client\web                                                                                                                              |          2 |         73 |         16 |          7 |         96 |
| duo_client\windows                                                                                                                          |         11 |        458 |         94 |        149 |        701 |
| duo_client\windows\flutter                                                                                                                  |          3 |         30 |          9 |         17 |         56 |
| duo_client\windows\runner                                                                                                                   |          8 |        428 |         85 |        132 |        645 |
| helpers                                                                                                                                     |          1 |         12 |          1 |          5 |         18 |
| proto                                                                                                                                       |          4 |         84 |          0 |         35 |        119 |
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------+-----------------------+------------+------------+------------+------------+
| filename                                                                                                                                    | language              | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------+-----------------------+------------+------------+------------+------------+
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\Makefile                                                                                    | Makefile              |         14 |          0 |          5 |         19 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\README.md                                                                                   | Markdown              |          2 |          0 |          1 |          3 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\Dockerfile                                                                      | Docker                |         11 |          0 |         12 |         23 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\Makefile                                                                        | Makefile              |         29 |          0 |         12 |         41 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\ReadMe.md                                                                       | Markdown              |          4 |          0 |          1 |          5 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\api\auth_routes.go                                                              | Go                    |        103 |          1 |         17 |        121 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\api\server.go                                                                   | Go                    |         32 |          0 |          8 |         40 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\api\session_manager.go                                                          | Go                    |        168 |         12 |         43 |        223 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\api\session_routes.go                                                           | Go                    |         51 |          0 |         15 |         66 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\app.env                                                                         | Environment Variables |          5 |          0 |          0 |          5 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\db.env                                                                          | Environment Variables |          3 |          0 |          0 |          3 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\db\migration\000001_user.down.sql                                               | SQL                   |          8 |          0 |          3 |         11 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\db\migration\000001_user.up.sql                                                 | SQL                   |         20 |          0 |          5 |         25 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\db\migration\000002_session.down.sql                                            | SQL                   |          1 |          0 |          0 |          1 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\db\migration\000002_session.up.sql                                              | SQL                   |          8 |          0 |          1 |          9 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\db\query\session.sql                                                            | SQL                   |          4 |          4 |          3 |         11 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\db\query\user.sql                                                               | SQL                   |          5 |          5 |          4 |         14 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\db\sqlc\db.go                                                                   | Go                    |         22 |          3 |          7 |         32 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\db\sqlc\models.go                                                               | Go                    |         21 |          3 |          7 |         31 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\db\sqlc\querier.go                                                              | Go                    |         17 |          3 |          6 |         26 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\db\sqlc\session.sql.go                                                          | Go                    |         66 |          4 |         13 |         83 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\db\sqlc\store.go                                                                | Go                    |         37 |          0 |          8 |         45 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\db\sqlc\user.sql.go                                                             | Go                    |         58 |          4 |         16 |         78 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\docker-compose.yml                                                              | YAML                  |         24 |          0 |          1 |         25 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\go.mod                                                                          | Go Module File        |         42 |          0 |          3 |         45 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\go.sum                                                                          | Go Checksum File      |         98 |          0 |          1 |         99 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\main.go                                                                         | Go                    |         44 |          1 |         12 |         57 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\pb\auth_messages.pb.go                                                          | Go                    |        430 |         13 |         62 |        505 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\pb\duo_service.pb.go                                                            | Go                    |        106 |          7 |          8 |        121 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\pb\duo_service_grpc.pb.go                                                       | Go                    |        262 |         21 |         31 |        314 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\pb\session_messages.pb.go                                                       | Go                    |        641 |         16 |         91 |        748 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\pb\void.pb.go                                                                   | Go                    |        108 |          8 |         16 |        132 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\sqlc.yaml                                                                       | YAML                  |         10 |          0 |          0 |         10 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\token\maker.go                                                                  | Go                    |          9 |          0 |          4 |         13 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\token\paseto_maker.go                                                           | Go                    |         42 |          0 |         12 |         54 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\token\paseto_maker_test.go                                                      | Go                    |         38 |          0 |         12 |         50 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\token\payload.go                                                                | Go                    |         35 |          0 |          9 |         44 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\util\challenge.go                                                               | Go                    |         34 |          2 |          6 |         42 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\util\config.go                                                                  | Go                    |         27 |          0 |          8 |         35 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\util\random.go                                                                  | Go                    |         42 |          0 |         11 |         53 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\README.md                                                                        | Markdown              |         10 |          0 |          7 |         17 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\analysis_options.yaml                                                            | YAML                  |          3 |         22 |          4 |         29 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\android\app\build.gradle                                                         | Groovy                |         51 |          5 |         12 |         68 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\android\app\src\debug\AndroidManifest.xml                                        | XML                   |          3 |          4 |          1 |          8 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\android\app\src\main\AndroidManifest.xml                                         | XML                   |         27 |          6 |          1 |         34 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\android\app\src\main\res\drawable-v21\launch_background.xml                      | XML                   |          4 |          7 |          2 |         13 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\android\app\src\main\res\drawable\launch_background.xml                          | XML                   |          4 |          7 |          2 |         13 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\android\app\src\main\res\values-night\styles.xml                                 | XML                   |          9 |          9 |          1 |         19 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\android\app\src\main\res\values\styles.xml                                       | XML                   |          9 |          9 |          1 |         19 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\android\app\src\profile\AndroidManifest.xml                                      | XML                   |          3 |          4 |          1 |          8 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\android\build.gradle                                                             | Groovy                |         26 |          0 |          5 |         31 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\android\gradle.properties                                                        | Properties            |          3 |          0 |          1 |          4 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\android\gradle\wrapper\gradle-wrapper.properties                                 | Properties            |          5 |          0 |          1 |          6 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\android\settings.gradle                                                          | Groovy                |         24 |          0 |          6 |         30 |
